Source,Target,Type,id,label,timeset,weight
7,42,Directed,166,MY/AU,,7.0
15,41,Directed,167,ID/HU,,3.0
12,66,Directed,168,US/SN,,1.0
49,41,Directed,169,JP/HU,,4.0
42,49,Directed,171,AU/JP,,4.0
7,49,Directed,172,MY/JP,,8.0
15,91,Directed,173,ID/KZ,,3.0
34,40,Directed,174,TH/AR,,12.0
15,71,Directed,175,ID/CA,,3.0
12,68,Directed,176,US/EC,,2.0
44,31,Directed,178,BR/FR,,26.0
72,72,Directed,179,MX/MX,,28.0
87,105,Directed,180,GB/KE,,195.0
15,56,Directed,181,ID/JM,,4.0
49,44,Directed,182,JP/BR,,8.0
31,49,Directed,183,FR/JP,,11.0
12,107,Directed,184,US/EG,,198.0
63,72,Directed,185,ES/MX,,23.0
44,41,Directed,186,BR/HU,,2.0
20,71,Directed,187,SA/CA,,1.0
15,73,Directed,188,ID/LA,,2.0
87,34,Directed,189,GB/TH,,6.0
40,41,Directed,190,AR/HU,,2.0
62,87,Directed,191,IN/GB,,5.0
87,128,Directed,192,GB/UA,,6.0
34,72,Directed,193,TH/MX,,2.0
12,75,Directed,195,US/UG,,4.0
15,42,Directed,196,ID/AU,,8.0
62,65,Directed,197,IN/RS,,1.0
62,44,Directed,198,IN/BR,,15.0
12,72,Directed,199,US/MX,,45.0
12,89,Directed,200,US/IE,,19.0
49,107,Directed,201,JP/EG,,2.0
49,40,Directed,202,JP/AR,,9.0
15,40,Directed,203,ID/AR,,5.0
87,62,Directed,205,GB/IN,,43.0
62,49,Directed,206,IN/JP,,7.0
40,74,Directed,207,AR/CO,,3.0
20,105,Directed,208,SA/KE,,2.0
40,71,Directed,209,AR/CA,,3.0
62,71,Directed,210,IN/CA,,4.0
12,91,Directed,211,US/KZ,,8.0
77,77,Directed,212,VE/VE,,4.0
123,105,Directed,213,TR/KE,,63.0
12,77,Directed,214,US/VE,,22.0
12,105,Directed,215,US/KE,,344.0
51,32,Directed,216,NG/RU,,1.0
87,63,Directed,217,GB/ES,,51.0
72,40,Directed,218,MX/AR,,2.0
51,12,Directed,220,NG/US,,16.0
34,82,Directed,221,TH/CU,,3.0
123,71,Directed,222,TR/CA,,5.0
51,71,Directed,223,NG/CA,,2.0
15,62,Directed,224,ID/IN,,23.0
12,80,Directed,225,US/RO,,4.0
20,100,Directed,226,SA/IQ,,3.0
12,100,Directed,227,US/IQ,,14.0
47,63,Directed,228,IT/ES,,4.0
12,82,Directed,230,US/CU,,6.0
51,87,Directed,231,NG/GB,,3.0
12,83,Directed,232,US/DJ,,2.0
63,44,Directed,233,ES/BR,,27.0
12,123,Directed,234,US/TR,,28.0
31,63,Directed,235,FR/ES,,19.0
12,84,Directed,236,US/SO,,2.0
12,94,Directed,237,US/AD,,4.0
31,134,Directed,238,FR/TN,,15.0
7,35,Directed,239,MY/CN,,322.0
40,44,Directed,240,AR/BR,,9.0
31,42,Directed,241,FR/AU,,22.0
62,125,Directed,242,IN/LT,,1.0
15,87,Directed,243,ID/GB,,6.0
87,106,Directed,244,GB/GH,,15.0
51,40,Directed,245,NG/AR,,1.0
27,79,Directed,246,DE/NZ,,2.0
12,101,Directed,248,US/IL,,82.0
62,47,Directed,249,IN/IT,,2.0
7,62,Directed,250,MY/IN,,22.0
63,77,Directed,251,ES/VE,,2.0
69,69,Directed,252,PL/PL,,21.0
49,47,Directed,253,JP/IT,,7.0
12,103,Directed,254,US/GE,,12.0
49,103,Directed,255,JP/GE,,2.0
62,105,Directed,256,IN/KE,,5.0
6,42,Directed,257,NL/AU,,3.0
123,62,Directed,258,TR/IN,,10.0
32,12,Directed,259,RU/US,,10.0
42,31,Directed,260,AU/FR,,4.0
31,44,Directed,261,FR/BR,,19.0
87,121,Directed,263,GB/KP,,5.0
12,93,Directed,264,US/AL,,1.0
12,95,Directed,265,US/BO,,2.0
87,95,Directed,266,GB/BO,,1.0
12,96,Directed,267,US/PA,,1.0
